"Index","price","return"
"2012-01-03","2012-01-03",12.3591833114624,NA
"2012-01-04","2012-01-04",12.4256029129028,0.00535972026063414
"2012-01-05","2012-01-05",12.5635547637939,0.0110410486090484
"2012-01-06","2012-01-06",12.6948871612549,0.0103991830854255
"2012-01-09","2012-01-09",12.6747493743896,-0.00158755061914029
"2012-01-10","2012-01-10",12.7201356887817,0.0035744491540779
"2012-01-11","2012-01-11",12.6993951797485,-0.00163185652347853
"2012-01-12","2012-01-12",12.6645317077637,-0.00274906122349794
"2012-01-13","2012-01-13",12.6170473098755,-0.00375644683366705
"2012-01-17","2012-01-17",12.7640132904053,0.0115808890253719
"2012-01-18","2012-01-18",12.8965520858765,0.0103302458204446
"2012-01-19","2012-01-19",12.8556785583496,-0.00317437059444314
"2012-01-20","2012-01-20",12.6317739486694,-0.0175702432234752
"2012-01-23","2012-01-23",12.8454608917236,0.0167751292804414
"2012-01-24","2012-01-24",12.6350793838501,-0.0165134872662143
"2012-01-25","2012-01-25",13.4240036010742,0.0605673943076219
"2012-01-26","2012-01-26",13.3629951477051,-0.00455508729656628
"2012-01-27","2012-01-27",13.4426336288452,0.00594193974092594
"2012-01-30","2012-01-30",13.6148471832275,0.0127296314893215
"2012-01-31","2012-01-31",13.7191362380981,0.00763076199414048
"2012-02-01","2012-02-01",13.7104167938232,-0.000635770080427811
"2012-02-02","2012-02-02",13.678261756897,-0.00234805426192253
"2012-02-03","2012-02-03",13.8153095245361,0.00996952351867719
"2012-02-06","2012-02-06",13.944239616394,0.00928912917817737
"2012-02-07","2012-02-07",14.0903062820435,0.0104205709582152
"2012-02-08","2012-02-08",14.3262281417847,0.0166049298600637
"2012-02-09","2012-02-09",14.8218221664429,0.0340085724292503
"2012-02-10","2012-02-10",14.8293352127075,0.000506762439611563
"2012-02-13","2012-02-13",15.1052360534668,0.0184341142710749
"2012-02-14","2012-02-14",15.3114109039307,0.0135569189124309
"2012-02-15","2012-02-15",14.957067489624,-0.0234144312238342
"2012-02-16","2012-02-16",15.0935096740723,0.00908089860104067
"2012-02-17","2012-02-17",15.0908107757568,-0.000178827833952955
"2012-02-21","2012-02-21",15.4733943939209,0.0250360576748099
"2012-02-22","2012-02-22",15.4190006256104,-0.00352150258906381
"2012-02-23","2012-02-23",15.5196838378906,0.0065085875144324
"2012-02-24","2012-02-24",15.7006120681763,0.0115905535508771
"2012-02-27","2012-02-27",15.8012895584106,0.00639185749479099
"2012-02-28","2012-02-28",16.0913105010986,0.0181878515369527
"2012-02-29","2012-02-29",16.3025951385498,0.0130449002337123
"2012-03-01","2012-03-01",16.3636035919189,0.00373526927979384
"2012-03-02","2012-03-02",16.3849468231201,0.00130346131065817
"2012-03-05","2012-03-05",16.0236949920654,-0.0222944729463115
"2012-03-06","2012-03-06",15.9365320205688,-0.00545447862828263
"2012-03-07","2012-03-07",15.9494543075562,0.000810530843353696
"2012-03-08","2012-03-08",16.2890739440918,0.021069956922803
"2012-03-09","2012-03-09",16.3846435546875,0.00584995467059857
"2012-03-12","2012-03-12",16.5899124145508,0.0124502972295821
"2012-03-13","2012-03-13",17.0737838745117,0.0287493555680558
"2012-03-14","2012-03-14",17.7193431854248,0.0371126978604566
