Name;Jahr;Sektor;Payout;PayoutVJ;Quote;ROA;FCFUE;lnUEWachs;lnInv;lnFKQ;lnCash;lnGK;lnUE;lnMK;lnAnalyst;Float;ARP;lnKBV;Abgeltung
3U HOLDING AG;2006;Sonstige;0;0;0;0,000539;-0,004490229;0,246153578;0,021312663;0,251898147;-2,123692655;4,85010654;4,815260919;3,746628354;1,386294361;0,769651168;0;-0,077906273;0
7DAYS MUSIC ENTERTAINMENT AG;2006;Consumer;0;0;0;0,077062;0,169633283;-0,179815899;0,006668194;0,068970871;-3,621665943;3,737669618;3,14909693;4,124515007;1,386294361;0,667169432;0;0,74807679;0
AD PEPPER MEDIA INTL NV;2006;IT;0;0;0;0,068842;-0,01468775;0,280314498;0,017064298;0;-2,005126124;3,954971378;3,38233731;4,782878954;0,693147181;0,411026446;1;0,957714093;0
ADIDAS AG;2006;Consumer;1;1;0,010040048;0,075165;0,030341652;0,124303067;0,032088674;0,165524608;-1,327302475;8,656997081;8,800209029;9,01227139;3,465735903;1;0;1,123016321;0
ADVA AG OPTICAL NETWORKING;2006;IT;0;0;0;0,10589;0,01487524;0,251118965;0,088500136;0,120229818;-1,491479875;4,828849594;4,87742385;5,785477391;2,197224577;0,607897178;0;1,359559166;0
ADVANCED PHOTONICS TECHNOLOG;2006;Industrials;0;0;0;-0,047528;-0,059303344;0,109090252;0,012292111;0,079994399;-2,01790925;3,098018067;3,499563493;3,13660664;1,098612289;0,804230769;0;1,358016845;0
AIXTRON SE;2006;IT;0;0;0;-0,258517;-0,147228878;-0,004309272;0,034470249;1,30E-05;-2,021474878;5,4693968;4,937361845;5,721437502;2,708050201;0,876412878;0;0,508710402;0
ALIGNA AG;2006;Health Care;0;0;0;0,034125;-0,143883329;0,136147592;0,069089501;0,16279889;-4,002157074;4,985358511;4,234816398;4,405666596;1,386294361;0,602524039;0;-0,022993212;0
ALL FOR ONE MIDMARKET AG;2006;IT;0;0;0;0,028146;0,052849532;0,004014929;0,032882532;0,070969982;-1,273676041;3,748279797;3,799391677;3,631451592;0,693147181;0,438888889;0;0,313677125;0
AMADEUS FIRE AG;2006;Industrials;1;1;0,029540601;0,057363;0,063831015;0,457952556;0,020229955;0;-1,029852998;3,582574048;3,950878267;4,142208345;1,098612289;0,863267233;1;1,030080531;0
ANALYTIK JENA AG;2006;Health Care;0;0;0;0,0019;-0,203899332;-0,325975322;0,089000267;0,240466243;-2,160548002;3,870554969;4,164647686;3,410718389;0;0,644281747;1;0,28245141;0
ARCANDOR AG;2006;Consumer;0;0;0;-0,030458;0,053127332;-0,227682587;0,027924368;0,342872426;-2,558997295;9,120258486;9,524923765;8,375210226;2,890371758;0,363502673;0;2,764559699;0
AS CREATION TAPETEN;2006;Consumer;1;1;0,025805209;0,070409;0,011257952;0,095266542;0,077254499;0,149556428;-3,195490363;4,709958038;4,978934767;4,560801284;0,693147181;0,472666667;0;0,314938074;0
AUGUSTA TECHNOLOGIE AG;2006;IT;0;0;0;-0,010857;0,075448293;-0,793816495;0,01508115;0,307812587;-2,678693354;5,348972457;4,596674197;4,378882058;0;0,919463883;0;0,308296955;0
AURUBIS AG;2006;Sonstige;1;1;0,011187645;0,084812;0,025795473;0,197491739;0,026701809;0,096681058;-3,72644499;7,11685102;8,013790615;6,730385729;2,197224577;0,901103126;0;0,515149719;0
BALDA AG;2006;IT;1;1;0,030319579;0,108622;-0,002704071;0,0503499;0,088923257;0,189578495;-2,108926112;5,853996846;5,984387061;6,063604151;2,302585093;0,899055828;0;0,924498699;0
BASF SE;2006;Sonstige;1;1;0,024308818;0,084556;-0,008361231;0,129933804;0,05316454;0,104796857;-3,487401431;10,48206808;10,66300517;10,40283782;3,496507561;1;1;0,649438618;0
BASLER AG;2006;IT;0;0;0;0,060768;-0,038534232;-0,149307759;0,200459057;0,188240671;-2,517662526;3,719432907;3,80606231;3,863001865;1,386294361;0,439142857;0;0,773283014;0
BAYER AG-REG;2006;Health Care;1;1;0,02808894;0,042982;0,071940407;0,05933532;0,037126924;0,218153522;-2,412488466;10,51113131;10,11459901;10,10946654;3,465735903;1;0;0,796838197;0
BAYER SCHERING PHARMA AG;2006;Sonstige;1;1;0,043858327;0,104738;0,139600603;0,078552367;0,049078817;0,040933668;-2,062383212;8,716535733;8,576970396;9,551200553;3,401197382;1;0;1,439352037;0
BAYWA AG (VZ.);2006;Sonstige;1;1;0,001390776;0,010276;-0,00276041;0,067675471;0,048340946;0,1902889;-5,043555658;7,862133005;8,785244638;6,470986065;1,609437912;0,889590391;0;0,031310776;0
BEATE UHSE AG;2006;Consumer;1;0;0,024141025;0,071501;0,043565893;0,042006253;0,060978415;0,322039295;-3,331777555;5,245312081;5,651741532;5,740543478;1,098612289;0,27100312;0;1,300671633;0
BECHTLE AG;2006;IT;1;1;0,008996248;0,073108;0,016351954;0,079582602;0,020446816;0,051278494;-2,150833045;6,025735531;7,071801691;6,088122092;1,791759469;0,6625;0;0,619207632;0
BEIERSDORF AG;2006;Consumer;1;1;0,030075377;0,117332;0,076214405;0,049355718;0,043089803;0,034818731;-1,794860247;7,974876901;8,471358655;9,191597456;3,33220451;0,2955;0;1,931699367;0
BERTRANDT AG;2006;Industrials;0;1;0;0,000577;0,037054774;0,01256177;0,038091011;0,217693527;-3,388909445;4,801115188;5,380657433;4,69612093;1,609437912;0,390311694;0;0,788473917;0
BETA SYSTEMS SOFTWARE AG;2006;IT;0;1;0;0,017585;-0,040436793;0,060504144;0,030913832;0,11664728;-2,834326654;4,312060075;4,56023558;3,702565043;1,609437912;0,9591376;0;0,239142307;0
BILFINGER BERGER SE;2006;Industrials;1;1;0,005969571;0,016467;0,013906122;0,132107504;0,023120449;0,133597765;-1,655734997;8,379447239;8,733255715;7,51614661;2,564949357;1,004271382;0;0,45953379;0
BIOTEST AG (VZ.);2006;Sonstige;1;1;0,003535383;0,028848;0,053624561;0,086840779;0,04334912;0,226143048;-3,827236777;5,853936608;5,470651717;4,669686379;0,693147181;1;0;0,380668985;0
BMW AG (ST.);2006;Sonstige;1;1;0,008535364;0,031491;-0,05669153;0,051026709;0,164537918;0,38180746;-3,828641396;11,21943992;10,75055682;10,1006738;3,63758616;0,534000399;1;0,441845524;0
BOEWE SYSTEC AG;2006;IT;1;1;0,019291936;0,036413;0,015556965;0,405723741;0,017345476;0,260222742;-3,646201573;6,406780971;6,135242328;5,91687569;1,386294361;0,498939394;0;0,950868374;0
BOSCH SOLAR ENERGY AG;2006;Sonstige;0;0;0;0,046793;-0,111159432;0,536654176;0,067803174;0,090886775;-0,600672202;5,461685435;4,164880687;6,261779421;1,609437912;1;0;1,168771499;0
BRAIN FORCE HOLDING AG;2006;IT;1;1;0,01120259;0,054027;-0,009925866;0,173392646;0,037444156;0,092756012;-1,686039718;4,152986042;4,338832036;3,574810931;0,693147181;0,728865691;1;0,119038972;0
BROADNET AG;2006;Sonstige;0;0;0;-0,049198;-0,01123687;0,273533198;0,113928952;0;-0,841567998;3,896889063;3,606665641;4,043307954;1,098612289;0,329438515;0;0,337889514;0
BRUEDER MANNESMANN;2006;Consumer;0;0;0;0,017171;0,018614601;0,004764631;0,002608924;0,386806107;-4,273536226;3,945032159;4,438064282;1,871632932;0;1;0;-0,370469404;0
CAATOOSEE AG;2006;IT;0;0;0;0,057694;0,304819493;-0,144863935;0,071805096;0,054101747;-1,347260457;3,827732288;3,105751919;2,52700793;0,693147181;0,375956776;0;1,029473916;0
CANCOM IT SYSTEME AG;2006;IT;0;0;0;0,015694;0,004276415;0,089007633;0,015756829;0,15593309;-1,776901996;4,249651716;5,421083521;3,554812327;1,098612289;0,830361798;0;0,263154202;0
CARL ZEISS MEDITEC AG;2006;Health Care;1;0;0,016422181;0,056151;0,109268024;0,320664377;0,008337531;0,135798446;-1,990454697;5,9025377;5,779730657;6,510171821;1,945910149;0,34909132;0;1,185167717;0
CCR LOGISTICS SYSTEMS AG;2006;Industrials;0;0;0;0,062414;0,0699844;0,269091585;0,008858006;0;-1,314205996;2,770073061;3,483219667;3,981297133;0,693147181;0,469350171;0;1,877963836;0
CELESIO AG;2006;Health Care;1;1;0,005893823;0,059928;0,016256802;0,067551166;0,016848021;0,243278672;-6,83494576;8,924213862;9,927746666;8,786875895;2,944438979;0,470999412;0;1,056646132;0
CENIT AG;2006;IT;1;1;0,050680341;0,216149;0,059218584;-0,008150122;0,02906421;0,038217325;-1,471353217;3,523680466;4,308124411;4,806244329;1,386294361;0,836281071;0;1,834460135;0
CENTROTEC SUSTAINABLE AG;2006;Industrials;0;0;0;0,107149;-0,013674532;0,126367418;0,040041626;0,25469648;-2,58809855;5,373294961;5,029862593;5,514729775;1,791759469;0,421582105;0;1,195307778;0
CEWE COLOR HOLDING AG;2006;Industrials;1;1;0,016700299;0,027153;0,034184585;0,006240488;0,122271819;0,064132814;-2,25684296;5,565669173;6,066409669;5,149189551;1,386294361;0,921;1;0,465881239;0
COMARCH SOFTWARE UND BERATUN;2006;IT;1;1;0,00488035;0,025767;0,096484738;-0,083026237;0,012511418;0,10632565;-2,214755575;3,687686243;4,388897973;3,159307384;0,693147181;0,701668702;0;0,234193677;0
COMPUTERLINKS AG;2006;Consumer;1;1;0,007539896;0,064699;-0,044073112;0,281731654;0,008837108;0,024146122;-2,997078068;4,896645057;5,632479795;4,435689117;1,386294361;0,674310402;0;0,661755019;0
CONSTANTIN FILM AG;2006;Sonstige;0;0;0;0,011171;-0,107298386;-0,144064385;0,003034849;0,251501633;-1,489762722;5,969188263;5,364980192;4,851529335;1,386294361;0,169190928;1;0,753362262;0
CONSTANTIN MEDIEN AG;2006;Consumer;0;0;0;0,000617;-0,056177952;0,01382302;0,024177225;0,200407843;-1,931830165;5,756245252;5,344699873;5,797226591;1,609437912;0,678911625;0;0,515151454;0
CONTINENTAL AG;2006;Consumer;1;1;0,010560348;0,091841;0,048463561;0,093870052;0,079414592;0,160764191;-2,113903287;9,263663125;9,535115911;9,455769817;3,526360525;1;0;1,274685383;0
COR&FJA AG;2006;IT;0;0;0;-0,060735;-0,402942189;-0,280249761;0,005941614;0,278781076;-0,958911272;3,223680265;3,934277526;3,881645052;1,945910149;0,87471282;0;2,650891787;0
CTS EVENTIM;2006;Consumer;1;0;0,031852778;0,077845;0,233948503;0,139844548;0,010786387;0,028616611;-0,550658554;5,465406835;5,545874858;6,444500028;1,945910149;0,324666667;0;2,117140795;0
CURANUM AG;2006;Health Care;1;1;0,016389363;0,039699;0,077312422;0,025486444;0,018278231;0,466703816;-4,325085236;5,1021139;5,239002512;5,483549612;1,098612289;0,900003237;0;2,045116563;0
CURASAN AG;2006;Health Care;0;0;0;-0,103949;-0,468535098;-0,010916367;0,017628365;0,026353671;-1,704561184;2,929806123;2,042129007;2,682151028;0;0,5374;0;0,07701988;0
D+S EUROPE AG;2006;Sonstige;0;0;0;0,037494;-0,072738419;0,763081742;0,034918171;0,237995907;-3,100633396;5,221576701;4,70879119;5,316068901;1,098612289;0,842124992;0;0,862627207;0
DAIMLER AG;2006;Consumer;1;1;0,01019214;0,01481;-0,098380248;0,052897906;0,126054294;0,337461033;-3,263796373;12,21419953;11,91689612;10,77181021;3,663561646;0,927999827;1;0,268614417;0
DATA MODUL AG;2006;IT;1;1;0,004000202;0,011907;-0,062337942;-0,021256323;0,039087608;0,251922244;-3,024230421;4,105696551;5,063366887;3,529066425;1,386294361;0,907797382;0;0,389249808;0
DCI DATABASE FOR COMMERCE;2006;IT;0;0;0;-0,277746;-0,292438272;-0,149509799;0,037243178;0,010128533;-0,359123898;0,770571078;0,952429779;2,408254611;0;0,476904903;0;2,030252516;0
DEAG DEUTSCHE ENTERTAINMENT;2006;Consumer;0;0;0;-0,061316;-0,005362872;-0,337722818;5,74E-05;0,108875929;-1,176399189;4,467297957;4,137611565;3,604681751;1,098612289;0,798653684;0;0,553385238;0
DEUFOL AG;2006;Industrials;0;0;0;0,006282;0,002851529;0,003341411;0,031493558;0,270982406;-3,3036257;5,358518369;5,747850396;4,387871873;1,609437912;0,601674076;0;0,120440687;0
DEUTSCHE LUFTHANSA;2006;Industrials;1;1;0,012674232;0,024262;0,047384445;0,062823614;0,056587475;0,17147882;-2,799088696;9,866408544;9,801731644;8,762367534;3,433987204;1;0;0,388579513;0
DEUTSCHE POST AG;2006;Industrials;1;1;0,018716312;0,01371;0,031932547;0,032500103;0,011752952;0,572389851;-4,416919378;12,05896378;10,7053546;10,15576097;3,433987204;0,554999597;0;0,885141532;0
