"";"Name";"ISIN Code";"Sektor";"Jahr";"Index";"fkq";"lfk";"kfk";"uw";"lngroesse";"sach";"ebit";"ndts";"steuer";"beta";"BIP";"ZS";"INFL";"MP"
"1";"AXEL SPRINGER (XET)";"DE0005501357";"Publishing";2005;NA;0,0999;0,0544;0,0455;-0,0044;14,69;0,3174;0,1553;0,0275;0,3355;-0,04;0,88;1,17;1,6;0,253
"2";"AXEL SPRINGER (XET)";NA;"Publishing";2006;NA;0,0358;0,0327;0,0032;-0,0065;14,68;0,2429;0,1398;0,0197;0,2443;0,28;3,87;0,68;1,5;0,1916
"3";"AXEL SPRINGER (XET)";NA;"Publishing";2007;"SDAX";0,2466;0,2437;0,0029;0,085;14,76;0,1983;0,111;0,0159;0,2131;0,34;3,38;-0,06;2,3;0,2236
"4";"AXEL SPRINGER (XET)";NA;"Publishing";2008;"SDAX";0,1874;0,1833;0,0041;0,0584;14,82;0,2583;0,2636;0,0288;0,159;0,34;0,82;-0,65;2,6;-0,4072
"5";"AXEL SPRINGER (XET)";NA;"Publishing";2009;"SDAX";0,1337;0,1315;0,0022;-0,0429;14,78;0,2415;0,143;0,0307;0,201;0,38;-5,57;1,99;0,3;0,1979
"6";"AXEL SPRINGER (XET)";NA;"Publishing";2010;"MDAX";0,0997;0,0934;0,0063;0,1081;14,88;0,1922;0,1106;0,0291;0,2623;0,61;3,95;1,93;1,1;0,1606
"7";"AXEL SPRINGER (XET)";NA;"Publishing";2011;"MDAX";0,1723;0,1618;0,0106;0,1006;14,97;0,1678;0,1068;0,031;0,2972;0,66;3,72;1,22;2,1;-0,1511
"8";"AXEL SPRINGER (XET)";NA;"Publishing";2012;"MDAX";0,1482;0,1456;0,0026;0,0394;15,01;0,1455;0,0903;0,0313;0,2933;0,73;0,69;0,93;2;0,2566
"9";"AXEL SPRINGER (XET)";NA;"Publishing";2013;"MDAX";0,1521;0,1519;2e-04;-0,1537;14,85;0,1353;0,0622;0,0348;0,2994;0,14;0,59;1,35;1,5;0,2331
"10";"AXEL SPRINGER (XET)";NA;"Publishing";2014;"MDAX";0,191;0,1902;7e-04;0,0844;14,93;0,0951;0,0636;0,0308;0,2256;0,79;1,6;0,95;0,9;0,0516
"11";"AXEL SPRINGER (XET)";NA;"Publishing";2015;"MDAX";0,194;0,1851;0,0089;0,0846;15,01;0,0786;0,0732;0,0304;0,288;0,65;1,48;0,52;0,3;0,0986
"12";"ADIDAS (XET)";"DE000A1EWWW0";"Footwear";2005;"DAX";0,1883;0,1878;5e-04;0,0243;15,71;0,0764;0,1312;0,0205;0,303;0,75;0,88;1,17;1,6;0,253
"13";"ADIDAS (XET)";NA;"Footwear";2006;"DAX";0,3214;0,3211;2e-04;0,5197;16,13;0,0856;0,1127;0,0246;0,2503;0,63;3,87;0,68;1,5;0,1916
"14";"ADIDAS (XET)";NA;"Footwear";2007;"DAX";0,2685;0,2683;2e-04;0,0213;16,15;0,0876;0,1221;0,0261;0,2658;0,66;3,38;-0,06;2,3;0,2236
"15";"ADIDAS (XET)";NA;"Footwear";2008;"DAX";0,2802;0,1935;0,0867;0,0485;16,19;0,0964;0,1177;0,0248;0,2403;0,84;0,82;-0,65;2,6;-0,4072
"16";"ADIDAS (XET)";NA;"Footwear";2009;"DAX";0,2091;0,1856;0,0235;-0,0387;16,16;0,0854;0,0586;0,0312;0,2278;0,84;-5,57;1,99;0,3;0,1979
"17";"ADIDAS (XET)";NA;"Footwear";2010;"DAX";0,1597;0,1325;0,0272;0,155;16,3;0,0846;0,0908;0,0246;0,2593;0,96;3,95;1,93;1,1;0,1606
"18";"ADIDAS (XET)";NA;"Footwear";2011;"DAX";0,1182;0,0914;0,0268;0,1129;16,41;0,0885;0,0951;0,0233;0,2483;0,69;3,72;1,22;2,1;-0,1511
"19";"ADIDAS (XET)";NA;"Footwear";2012;"DAX";0,1353;0,1097;0,0256;0,1153;16,52;0,0984;0,0852;0,0237;0,3449;0,66;0,69;0,93;2;0,2566
"20";"ADIDAS (XET)";NA;"Footwear";2013;"DAX";0,1212;0,0596;0,0616;-0,0263;16,49;0,1114;0,1086;0,0257;0,285;0,85;0,59;1,35;1,5;0,2331
"21";"ADIDAS (XET)";NA;"Footwear";2014;"DAX";0,159;0,1344;0,0246;0,0029;16,49;0,1228;0,0755;0,0267;0,3031;0,93;1,6;0,95;0,9;0,0516
"22";"ADIDAS (XET)";NA;"Footwear";2015;"DAX";0,1447;0,1156;0,029;0,1638;16,64;0,1289;0,087;0,0267;0,3195;0,68;1,48;0,52;0,3;0,0986
"23";"ADVA OPTICAL NETWG.(XET)";"DE0005103006";"Telecom. Equipment";2005;NA;0,1439;0,065;0,0789;0,2855;11,79;0,1134;0,1618;0,0461;0,3079;0,4;0,88;1,17;1,6;0,253
"24";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2006;"TecDAX";0,1471;0,0781;0,069;0,4678;12,17;0,101;-7e-04;0,0649;0;0,7;3,87;0,68;1,5;0,1916
"25";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2007;"TecDAX";0,1826;0,1755;0,0071;0,305;12,44;0,1093;-0,0968;0,0959;0;0,85;3,38;-0,06;2,3;0,2236
"26";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2008;NA;0,1779;0,1475;0,0304;-0,1345;12,29;0,0974;-0,037;0,0887;0,0386;1,51;0,82;-0,65;2,6;-0,4072
"27";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2009;NA;0,1485;0,0805;0,068;0,0695;12,36;0,0916;0,0162;0,0922;0,0936;1,19;-5,57;1,99;0,3;0,1979
"28";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2010;"TecDAX";0,1283;0,1218;0,0065;0,2531;12,58;0,0901;0,0546;0,0897;0,3181;1,78;3,95;1,93;1,1;0,1606
"29";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2011;"TecDAX";0,1124;0,0708;0,0416;0,0659;12,65;0,0871;0,0628;0,098;0;1,04;3,72;1,22;2,1;-0,1511
"30";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2012;"TecDAX";0,1069;0,0525;0,0543;0,0615;12,71;0,0859;0,073;0,0968;0,0899;1,25;0,69;0,93;2;0,2566
"31";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2013;"TecDAX";0,141;0,1259;0,0151;-0,0587;12,65;0,0787;0,0203;0,1005;0;0,66;0,59;1,35;1,5;0,2331
"32";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2014;NA;0,117;0,0926;0,0244;0,0916;12,73;0,0701;0,032;0,1122;0;1,09;1,6;0,95;0,9;0,0516
"33";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2015;"TecDAX";0,1177;0,0675;0,0503;0,303;13;0,0551;0,0799;0,1029;0,0424;0,72;1,48;0,52;0,3;0,0986
"34";"AIRBUS GROUP (XET)";"NL0000235190";"Aerospace";2005;"MDAX";0,0742;0,061;0,0132;0,077;17,35;0,2011;0,043;0,0205;0,2791;0,72;0,88;1,17;1,6;0,253
"35";"AIRBUS GROUP (XET)";NA;"Aerospace";2006;"MDAX";0,0823;0,0509;0,0314;0,1528;17,49;0,2027;0,0065;0,0215;0;1,21;3,87;0,68;1,5;0,1916
"36";"AIRBUS GROUP (XET)";NA;"Aerospace";2007;"MDAX";0,0662;0,0425;0,0237;-0,0079;17,48;0,1841;-0,0038;0,0237;0;0,94;3,38;-0,06;2,3;0,2236
"37";"AIRBUS GROUP (XET)";NA;"Aerospace";2008;"MDAX";0,0614;0,0415;0,0199;0,1059;17,58;0,1656;0,0393;0,0227;0,244;1,07;0,82;-0,65;2,6;-0,4072
"38";"AIRBUS GROUP (XET)";NA;"Aerospace";2009;"MDAX";0,0682;0,0369;0,0313;-0,0102;17,57;0,1611;-0,006;0,0235;0,4691;0,85;-5,57;1,99;0,3;0,1979
"39";"AIRBUS GROUP (XET)";NA;"Aerospace";2010;"MDAX";0,0542;0,0364;0,0178;0,0684;17,64;0,1701;0,0156;0,0195;0,1982;1,25;3,95;1,93;1,1;0,1606
"40";"AIRBUS GROUP (XET)";NA;"Aerospace";2011;"MDAX";0,0606;0,0431;0,0175;0,0738;17,71;0,1682;0,0209;0,0224;0,2026;0,62;3,72;1,22;2,1;-0,1511
"41";"AIRBUS GROUP (XET)";NA;"Aerospace";2012;"MDAX";0,1203;0,1057;0,0145;0,1496;17,85;0,1735;0,0251;0,0234;0,2041;0,63;0,69;0,93;2;0,2566
"42";"AIRBUS GROUP (XET)";NA;"Aerospace";2013;"MDAX";0,1338;0,1103;0,0235;0,0492;17,9;0,1772;0,0277;0,022;0,2029;0,35;0,59;1,35;1,5;0,2331
"43";"AIRBUS GROUP (XET)";NA;"Aerospace";2014;"MDAX";0,1536;0,1361;0,0175;0,0246;17,92;0,1806;0,0407;0,0229;0,2348;1,15;1,6;0,95;0,9;0,0516
"44";"AIRBUS GROUP (XET)";NA;"Aerospace";2015;"MDAX";0,1642;0,1306;0,0336;0,0616;17,98;0,1714;0,0393;0,0247;0,1724;1,06;1,48;0,52;0,3;0,0986
"45";"ALSTRIA OFFICE REIT(XET)";"DE000A0LD2U1";"Ind. & Office REITs";2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,88;1,17;1,6;0,253
"46";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2006;NA;0,6119;0,6106;0,0013;NA;10,49;0,968;0,0288;NA;0,1067;NA;3,87;0,68;1,5;0,1916
"47";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2007;"SDAX";0,5101;0,5053;0,0049;1,4785;11,4;0,9236;0,0473;2e-04;0;NA;3,38;-0,06;2,3;0,2236
"48";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2008;"SDAX";0,5868;0,5801;0,0067;0,3013;11,67;0,9657;0,0023;3e-04;0,0176;1,25;0,82;-0,65;2,6;-0,4072
"49";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2009;"SDAX";0,5884;0,5363;0,0521;-0,1012;11,56;0,8104;-0,0283;2e-04;0;1,27;-5,57;1,99;0,3;0,1979
"50";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2010;"SDAX";0,5149;0,5099;0,0051;0,1113;11,66;0,8793;0,0165;4e-04;0;0,28;3,95;1,93;1,1;0,1606
"51";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2011;"SDAX";0,5095;0,5068;0,0027;-0,0673;11,59;0,909;0,032;3e-04;0;0,86;3,72;1,22;2,1;-0,1511
"52";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2012;"SDAX";0,4992;0,4937;0,0056;0,1084;11,7;0,9113;0,0357;3e-04;7e-04;0,82;0,69;0,93;2;0,2566
"53";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2013;"SDAX";0,502;0,4606;0,0414;-0,1261;11,56;0,917;0,0435;3e-04;5e-04;0,24;0,59;1,35;1,5;0,2331
