"ausfall";"laufzeit";"moral";"hoehe";"rate";"beszeit";"alter";"famges"
0;18;"einwandfrei";1049;4;2;21;"m_ledig"
0;9;"einwandfrei";2799;2;3;36;"m_verheiratet"
0;12;"keine";841;2;4;23;"w_verheirat"
0;12;"einwandfrei";2122;3;3;39;"m_verheiratet"
0;12;"einwandfrei";2171;4;3;38;"m_verheiratet"
0;10;"einwandfrei";2241;1;2;48;"m_verheiratet"
0;8;"einwandfrei";3398;1;4;39;"m_verheiratet"
0;6;"einwandfrei";1361;2;2;40;"m_verheiratet"
0;18;"einwandfrei";1098;4;1;65;"m_ledig"
0;24;"keine";3758;1;1;23;"m_ledig"
0;11;"einwandfrei";3905;2;3;36;"m_verheiratet"
0;30;"einwandfrei";6187;1;4;24;"w_ledig"
0;6;"einwandfrei";1957;1;4;31;"m_ledig"
0;48;"bestehend";7582;2;1;31;"m_verheiratet"
0;18;"keine";1936;2;4;23;"w_ledig"
0;6;"keine";2647;2;3;44;"m_verheiratet"
0;11;"einwandfrei";3939;1;3;40;"m_verheiratet"
0;18;"keine";3213;1;2;25;"w_ledig"
0;36;"einwandfrei";2337;4;5;36;"m_verheiratet"
0;11;"einwandfrei";7228;1;3;39;"m_verheiratet"
0;6;"einwandfrei";3676;1;3;37;"m_verheiratet"
0;12;"einwandfrei";3124;1;2;49;"m_verheiratet"
1;36;"keine";2384;4;2;33;"m_verheiratet"
0;12;"einwandfrei";1424;4;4;26;"m_verheiratet"
0;6;"einwandfrei";4716;1;2;44;"m_verheiratet"
0;11;"bestehend";4771;2;4;51;"m_verheiratet"
0;12;"keine";652;4;5;24;"m_ledig"
0;9;"einwandfrei";1154;2;5;37;"m_verheiratet"
0;15;"keine";3556;3;3;29;"m_verheiratet"
0;42;"einwandfrei";4796;4;5;56;"m_verheiratet"
0;30;"einwandfrei";3017;4;5;47;"m_verheiratet"
0;36;"einwandfrei";3535;4;4;37;"m_verheiratet"
0;36;"einwandfrei";6614;4;5;34;"m_verheiratet"
0;24;"keine";1376;4;4;28;"w_verheirat"
0;15;"keine";1721;2;2;36;"m_verheiratet"
0;6;"einwandfrei";860;1;5;39;"m_ledig"
0;12;"einwandfrei";1495;4;5;38;"m_verheiratet"
0;12;"einwandfrei";1934;2;5;26;"m_verheiratet"
0;18;"keine";3378;2;3;31;"m_verheiratet"
0;24;"einwandfrei";3868;4;5;41;"m_ledig"
0;12;"einwandfrei";996;4;4;23;"m_ledig"
0;24;"keine";1755;4;5;58;"m_ledig"
0;18;"einwandfrei";1028;4;3;36;"m_ledig"
0;24;"einwandfrei";2825;4;4;34;"m_verheiratet"
0;18;"keine";1239;4;3;61;"m_verheiratet"
1;18;"keine";1216;4;2;23;"m_ledig"
0;24;"keine";1258;4;4;25;"m_verheiratet"
1;18;"einwandfrei";1864;4;3;30;"m_ledig"
0;24;"keine";1474;4;2;33;"w_ledig"
0;24;"einwandfrei";1382;4;4;26;"m_verheiratet"
0;12;"keine";640;4;3;49;"m_geschieden"
0;36;"keine";3919;2;3;23;"m_verheiratet"
0;9;"einwandfrei";1224;3;3;30;"m_verheiratet"
0;12;"einwandfrei";2331;1;5;49;"m_verheiratet"
0;24;"keine";6313;3;5;41;"m_verheiratet"
0;12;"einwandfrei";385;4;4;58;"m_ledig"
0;12;"einwandfrei";1655;2;5;63;"m_verheiratet"
0;15;"keine";1053;4;2;27;"w_ledig"
0;21;"keine";3160;4;5;41;"m_verheiratet"
0;36;"keine";3079;4;3;36;"m_verheiratet"
0;12;"einwandfrei";1163;4;3;44;"m_verheiratet"
0;24;"keine";2679;4;2;29;"m_ledig"
0;48;"einwandfrei";3578;4;5;47;"m_verheiratet"
0;36;"bestehend";10875;2;5;45;"m_verheiratet"
0;12;"bestehend";1344;4;3;43;"m_verheiratet"
0;6;"einwandfrei";1237;1;3;27;"w_verheirat"
