"ausfall";"betrag";"zins";"bonitaet";"alter";"wohnen";"arbeit";"einkommen"
"nein";5000;10,65;"B";33;"Miete";10;24
"nein";10000;13,49;"C";24;"Miete";13;49,2
"nein";12000;12,69;"B";28;"Eigentum";11;75
"ja";9000;13,49;"C";22;"Miete";0;30
"nein";3000;9,91;"B";22;"Miete";3;15
"ja";10000;10,65;"B";28;"Miete";3;100
"nein";1000;16,29;"D";22;"Miete";0;28
"nein";3600;6,03;"A";27;"Grundschuld";13;110
"nein";9200;6,03;"A";24;"Miete";6;77,38519
"ja";21000;12,42;"B";29;"Miete";17;105
"nein";10000;11,71;"B";23;"Eigentum";13;50
"nein";10000;11,71;"B";22;"Miete";5;50
"ja";6000;11,71;"B";31;"Miete";1;76
"nein";15000;9,91;"B";23;"Grundschuld";2;92
"ja";15000;14,27;"C";30;"Miete";9;60
"nein";4000;11,71;"B";27;"Grundschuld";19;106
"nein";8500;11,71;"B";24;"Miete";0;25
"nein";4375;7,51;"A";38;"Grundschuld";7;17,108
"nein";31825;7,9;"A";23;"Grundschuld";5;75
"nein";5000;8,9;"A";22;"Miete";2;24,044
"nein";7000;15,96;"C";27;"Miete";7;34
"nein";12400;10,65;"B";36;"Miete";18;41
"nein";10800;9,91;"B";35;"Miete";2;55,596
"nein";15000;7,9;"A";23;"Miete";1;45
"nein";6000;12,42;"B";25;"Miete";1;36,852
"nein";9600;7,51;"A";22;"Miete";4;68,004
"nein";12000;7,9;"A";25;"Miete";15;62,3
"nein";3000;18,25;"D";26;"Grundschuld";9;65
"nein";4400;16,77;"D";24;"Miete";17;55
"nein";6000;6,03;"A";21;"Grundschuld";17;45,6
"ja";5000;8,9;"A";27;"Grundschuld";17;100
"nein";10000;10,65;"B";23;"Miete";6;27
"nein";11000;6,62;"A";26;"Miete";5;70
"ja";15000;9,91;"B";26;"Grundschuld";8;80
"nein";7000;10,65;"B";22;"Miete";0;40
"ja";12000;15,96;"C";29;"Miete";4;50
"nein";12000;9,91;"B";38;"Miete";1;46
"nein";10000;12,42;"B";33;"Eigentum";0;39
"nein";10000;10,65;"B";23;"Miete";2;51,4
"nein";7100;16,77;"D";29;"Grundschuld";1;33
"nein";3500;10,65;"B";33;"Grundschuld";7;55
"nein";16425;14,27;"C";27;"Miete";4;44,544
"nein";15000;14,65;"C";25;"Eigentum";2;61
"ja";6400;16,77;"D";35;"Miete";5;75
"nein";3000;13,49;"C";27;"Miete";1;33,6
"nein";12000;16,77;"D";25;"Miete";3;50
"nein";14400;8,9;"A";25;"Eigentum";0;150
