"totalrent";"livingspace";"balcony";"yearconstructed";"haskitchen";"floor";"interiorqual"
1850;63;1;2017;1;2;3
1095;79;1;1981;0;1;2
960;45;0;2018;1;1;3
734;55;0;1928;0;0;0
1865;110;1;2019;0;2;3
1555;129;1;1980;1;0;2
1675;124;1;1907;1;3;3
1130;80;1;2005;0;1;3
1100;67;1;2020;0;0;3
1080;91;1;1984;0;1;2
624;50;0;1960;0;1;3
1760;106;1;2010;0;0;3
1090;60;1;1972;1;0;3
740;60;0;1935;1;2;2
1185;55;1;1950;1;1;3
1085;73;1;1911;1;0;2
798;64;1;1986;0;0;0
450;33;0;1900;1;0;0
544;25;0;1960;0;1;3
985;66;1;2019;1;0;0
737;56;0;1972;1;4;0
590;25;0;1972;1;3;3
920;78;1;1912;1;4;3
880;72;1;1956;0;3;2
990;79;1;1969;0;1;2
999;72;1;1954;0;3;2
851;75;1;1972;0;2;0
2812;206;1;1989;0;1;4
510;40;0;1963;0;0;2
1430;118;1;1956;0;2;3
694;56;1;1964;0;0;2
847;71;1;1969;0;6;2
1047;92;0;1973;0;4;0
1440;130;1;1995;1;3;3
907;75;1;1961;0;1;2
1430;81;1;2020;0;5;3
1738;128;1;1996;0;2;0
576;42;0;1972;0;4;2
1630;100;1;1960;0;2;3
1825;121;1;2009;0;1;3
724;45;1;1972;0;0;0
465;41;1;1958;0;3;2
900;55;1;1972;1;0;3
2240;98;1;2019;1;4;4
755;54;1;1928;0;2;0
624;42;1;1955;0;0;2
800;30;1;1972;1;4;3
770;51;0;1919;1;3;2
751;57;0;1950;0;4;0
2400;111;0;1972;1;3;0
1100;105;1;1949;1;3;2
580;48;1;1972;1;3;2
640;51;0;1965;0;4;2
1800;116;1;2014;1;2;3
656;48;1;1954;0;0;2
645;50;1;1972;0;1;0
1766;110;1;2016;1;6;0
1230;95;1;2000;0;1;0
584;41;1;1952;0;0;0
835;66;1;1992;0;1;0
1030;70;1;1950;1;4;3
1000;99;1;1981;0;4;2
926;80;1;1972;1;2;0
1090;108;1;1958;0;1;2
870;87;1;1946;0;4;0
1250;66;1;1953;1;4;2
470;30;0;1960;1;2;2
1200;48;0;2018;1;0;3
920;80;1;1902;1;0;2
625;40;1;1956;0;4;2
847;71;1;1969;0;6;2
890;54;1;1996;1;1;3
1905;105;1;1996;1;2;4
1110;69;0;1955;0;1;3
640;52;1;1972;0;2;0
1390;106;1;1936;0;1;2
750;54;0;1954;1;2;2
1036;65;0;1972;1;1;3
1376;92;1;2005;1;3;3
1450;104;0;1924;0;0;3
1500;100;1;1972;1;1;0
950;76;1;1995;1;3;3
520;40;0;1938;1;3;2
2210;111;1;2016;1;5;3
700;76;1;1954;0;3;2
995;89;1;1965;0;2;0
1395;86;1;2019;0;2;0
1060;74;0;1927;0;3;0
1660;90;0;1952;0;1;3
560;53;0;1969;1;3;0
1430;100;1;1965;1;1;3
980;60;0;1972;0;5;3
1650;106;1;1972;1;1;0
1450;110;1;1952;0;1;2
552;20;0;1972;0;2;0
970;84;1;1957;0;1;3
2140;102;0;1987;0;1;4
1745;107;1;1958;0;2;3
1266;95;1;1995;0;1;0
840;66;0;1970;0;4;2
601;57;1;1964;0;1;2
1389;105;1;2018;0;1;3
956;81;1;1969;0;3;2
840;60;0;1972;0;5;0
930;80;1;1956;0;1;2
679;56;1;1972;1;3;0
426;26;0;1993;1;3;2
1500;110;0;1904;1;1;2
2250;125;1;1982;1;1;0
790;53;1;2000;1;2;3
1235;79;0;1957;0;2;0
1120;89;1;1959;0;3;0
1874;116;1;2017;1;1;4
800;77;1;1965;0;1;2
1490;98;1;1960;0;3;3
1754;94;1;2020;0;0;0
780;57;1;1907;0;2;2
2000;160;1;1977;1;0;0
1443;98;1;1959;0;4;2
1270;81;1;1958;1;2;3
945;72;1;1972;1;0;3
1700;95;1;1972;1;4;3
585;35;0;1963;1;6;3
1010;72;1;1972;0;3;2
1465;87;1;2019;0;2;0
1631;152;1;1972;0;1;2
1020;81;1;1975;0;3;0
890;66;1;1992;1;2;3
720;68;1;1972;0;1;0
1048;56;1;2019;0;1;4
1560;93;1;1958;0;2;3
550;25;0;1972;1;0;0
672;48;1;1972;1;4;0
2040;122;1;1972;1;0;0
1073;62;1;2017;1;4;3
1400;89;1;2005;0;3;3
999;65;1;2013;0;2;3
1095;100;0;1996;0;4;2
1250;80;1;1955;0;4;3
1659;91;1;1972;0;4;3
498;61;1;1995;0;0;0
945;52;1;2000;1;1;0
1050;74;1;1900;0;2;3
517;34;1;1972;0;1;0
1710;127;1;1960;0;2;0
1719;96;0;2015;1;0;3
1450;125;0;1990;0;1;2
1125;90;1;1983;1;2;3
1175;97;1;1914;1;3;3
610;41;1;1955;1;1;2
380;15;0;1972;1;0;0
750;62;0;1972;0;2;2
760;67;0;1972;0;1;2
985;91;0;1973;0;2;0
820;48;0;1890;1;0;3
530;45;0;1972;1;1;2
1130;69;1;1972;1;3;3
1305;91;1;2001;0;3;3
687;50;0;1950;0;0;0
967;71;1;1959;0;1;3
1315;104;0;1907;0;1;0
1948;106;1;2012;0;0;3
945;65;1;1994;0;2;3
435;31;0;1988;0;4;0
950;55;0;1930;1;3;3
1628;119;1;2019;0;1;3
970;32;1;1972;1;4;3
670;44;1;1940;0;0;2
537;44;0;1955;0;3;0
1580;130;1;1956;1;3;0
727;66;1;1954;0;3;1
1302;90;0;1928;0;3;0
1160;73;1;2019;1;2;4
1355;86;1;1960;0;0;0
690;60;1;1956;0;4;2
510;33;0;1903;0;0;2
940;70;0;1955;0;1;2
830;47;1;1972;1;5;0
934;56;0;1971;0;3;0
863;70;1;1967;0;2;0
765;26;0;2020;1;0;3
560;34;1;1972;0;1;2
1500;97;1;1956;0;3;3
1050;78;1;1972;0;2;0
850;65;1;1915;0;2;2
1791;106;1;2019;0;2;3
1874;119;1;2015;0;1;0
1014;81;1;1975;0;5;0
980;77;0;1972;0;0;0
897;71;1;1973;0;1;3
1125;94;1;1929;1;4;3
688;45;1;1956;0;1;0
1070;73;0;1936;1;3;2
810;68;1;1976;0;2;0
1690;114;1;1904;0;4;3
1025;72;1;1972;1;0;0
2409;138;1;2019;0;3;0
1226;89;0;1999;0;3;0
615;51;0;1962;0;3;0
1650;103;1;2012;0;4;3
730;52;1;1952;0;0;0
600;34;0;1963;0;1;0
1170;83;1;1963;0;1;3
1325;90;0;2018;0;2;3
623;55;1;1972;1;1;2
709;50;0;1902;0;4;0
947;75;1;1972;0;0;0
1050;74;1;1972;0;3;3
1019;57;1;2018;1;6;3
975;78;0;1972;0;3;0
1090;96;1;1963;0;0;2
1860;132;1;1958;1;1;3
1432;81;1;2011;1;1;3
1390;89;1;1936;0;3;3
1420;95;1;1965;0;2;3
1201;114;1;1907;0;2;0
790;71;1;1937;0;4;0
1800;125;1;1986;1;3;3
1884;144;1;1972;0;4;0
539;49;1;1971;0;2;0
690;57;0;1921;0;1;3
985;63;0;1903;0;1;3
1980;160;1;1972;1;3;3
1075;82;1;1910;1;3;3
590;50;0;1986;0;2;2
1115;76;1;1954;0;5;2
1600;106;1;2009;0;3;3
780;30;0;1959;0;4;3
1600;103;1;2019;0;1;3
1119;81;1;1975;0;7;3
1450;138;1;1910;1;4;3
850;70;1;1978;0;1;3
1178;90;1;1988;0;5;3
1384;92;1;1957;1;4;2
729;58;1;1972;0;0;2
1060;71;1;1959;0;3;0
849;70;1;1966;0;0;0
2202;123;1;2015;1;0;3
780;30;0;1955;1;3;0
1140;62;0;1959;1;1;2
800;59;0;1972;1;1;0
1386;92;1;2017;0;1;0
1050;83;1;1959;0;4;3
460;35;1;1972;0;2;0
1460;100;1;1972;1;0;0
707;53;1;1983;1;3;2
670;51;0;1960;1;4;0
1490;65;1;1972;1;0;2
1010;62;1;2020;0;0;3
400;22;1;1972;1;0;0
1050;82;0;2005;1;5;3
585;24;0;1963;1;5;3
660;54;0;1968;0;2;2
1815;112;1;2016;0;3;0
503;38;1;1972;0;6;3
1040;80;0;1906;0;4;0
997;80;1;2018;0;3;3
499;43;0;1953;0;1;0
1270;127;0;1972;0;4;2
745;53;0;1972;0;3;0
655;22;1;2018;1;2;3
2850;135;1;2014;1;1;0
1620;114;1;1974;0;2;0
710;47;1;1972;1;2;3
960;68;1;1994;0;2;3
1175;38;1;2020;1;0;3
820;69;0;1954;0;4;2
790;50;1;1999;1;3;3
2550;127;1;2005;0;0;3
1812;115;1;2018;1;5;3
1010;75;1;1966;0;0;2
1700;110;1;2009;0;0;3
1754;94;1;2019;1;0;0
1025;55;1;1985;1;2;3
800;68;1;1972;0;3;2
650;48;0;1972;1;1;0
740;60;0;1938;0;4;2
1070;83;1;1972;0;5;3
1040;73;1;1955;0;3;3
585;43;1;1970;0;3;3
845;69;1;1971;0;10;3
752;70;1;1953;0;3;0
1080;79;1;2003;0;5;2
500;25;0;1972;1;0;2
2820;175;1;2012;1;0;3
520;21;0;1957;1;5;3
820;85;0;1903;0;2;2
1175;63;1;2016;1;1;4
1670;105;1;2019;1;0;3
643;55;1;1964;0;1;0
1102;70;1;1975;1;4;3
1200;95;1;1971;0;1;3
1485;105;1;1972;0;3;3
674;56;0;1960;0;2;2
540;29;1;1956;1;0;0
1340;89;1;1974;0;1;0
745;64;1;1935;0;4;2
490;35;0;1972;1;5;0
780;55;1;1899;1;0;3
1690;125;1;1999;1;3;3
870;87;1;1946;0;4;0
1535;113;1;2018;0;5;0
550;34;0;1972;1;4;2
960;85;1;1969;0;0;2
1340;98;1;1972;0;1;3
1034;82;0;1972;0;2;2
3950;185;1;2016;1;6;4
650;36;1;1959;1;4;2
590;36;0;1972;1;0;0
1031;80;1;1937;1;0;0
615;34;0;1975;1;1;3
1005;81;1;2018;0;6;3
1030;79;1;1979;0;2;3
3150;249;1;1951;0;2;3
950;52;1;1972;1;2;0
1025;73;1;2008;0;3;2
910;76;1;1972;0;3;3
1304;92;1;1929;0;5;3
589;38;1;1972;0;6;3
660;60;1;1965;0;1;2
560;45;0;1937;0;3;0
1045;60;1;1960;1;4;4
692;52;0;1949;1;4;0
1065;61;1;2018;1;1;3
1230;101;1;1955;0;0;0
998;68;1;1956;0;4;0
600;47;1;1954;0;2;2
667;55;1;1964;0;6;0
828;55;1;1984;1;6;3
749;56;1;1966;0;2;0
2156;157;1;1984;1;0;3
2164;147;1;1992;1;2;3
1122;70;1;2019;0;5;3
910;75;1;1968;0;1;0
610;36;1;1958;1;5;2
825;64;1;1972;0;4;2
720;71;1;1967;0;3;2
970;60;0;1972;0;2;3
1375;81;1;2014;1;0;4
950;72;1;1912;0;3;0
725;46;1;1932;1;1;0
773;59;1;1972;0;4;2
2025;110;0;1972;0;3;3
1773;109;1;2019;0;0;0
1200;95;1;1992;0;1;3
605;55;0;1909;0;2;3
1330;70;1;2017;1;0;4
770;35;0;1959;1;2;2
800;56;1;1972;1;1;0
1740;99;1;2019;0;2;3
560;33;1;1972;1;3;2
1080;79;0;1972;1;2;3
662;50;1;1972;1;0;0
1016;75;1;1989;1;2;3
1230;76;1;1955;0;1;3
1600;67;1;1972;1;4;3
855;52;1;1972;0;0;0
1252;76;1;2003;0;1;3
770;46;1;2018;0;2;3
1510;105;1;1907;1;1;3
1600;107;1;2016;1;1;0
610;58;1;1966;0;2;2
1590;79;1;1936;1;2;3
1200;41;1;1984;1;2;3
790;67;1;1980;0;1;1
330;18;0;1950;0;0;1
1774;95;0;2015;0;0;3
1370;95;1;1965;0;2;3
1302;82;1;2002;1;0;3
880;85;1;1925;0;2;2
1580;110;1;1905;1;1;3
458;36;1;1969;0;0;0
911;75;1;1966;0;3;0
640;53;1;1959;0;4;2
2900;190;1;1908;0;2;3
1080;84;1;2004;1;2;3
741;56;0;1950;0;3;0
1645;91;1;1972;0;6;3
608;51;1;1969;0;0;2
