"";"date";"season";"year";"month";"day_of_week";"weekend";"holiday";"temp_actual";"temp_feel";"humidity";"windspeed";"weather_cat";"rides"
"1";2011-01-01;"winter";2011;"Jan";"Sat";TRUE;"no";14,110847;18,18125;80,5833;10,749882;"categ2";654
"2";2011-01-03;"winter";2011;"Jan";"Mon";FALSE;"no";8,050924;9,47025;43,7273;16,636703;"categ1";1229
"3";2011-01-04;"winter";2011;"Jan";"Tue";FALSE;"no";8,2;10,6061;59,0435;10,739832;"categ1";1454
"4";2011-01-05;"winter";2011;"Jan";"Wed";FALSE;"no";9,305237;11,4635;43,6957;12,5223;"categ1";1518
"5";2011-01-07;"winter";2011;"Jan";"Fri";FALSE;"no";8,057402;10,44195;49,8696;11,304642;"categ2";1362
"6";2011-01-08;"winter";2011;"Jan";"Sat";TRUE;"no";6,765;8,1127;53,5833;17,875868;"categ2";891
"7";2011-01-10;"winter";2011;"Jan";"Mon";FALSE;"no";6,184153;7,5444;48,2917;14,958889;"categ1";1280
"8";2011-01-11;"winter";2011;"Jan";"Tue";FALSE;"no";6,932731;9,5732;68,6364;8,182844;"categ2";1220
"9";2011-01-12;"winter";2011;"Jan";"Wed";FALSE;"no";7,081807;8,02365;59,9545;20,410009;"categ1";1137
"10";2011-01-13;"winter";2011;"Jan";"Thu";FALSE;"no";6,765;7,54415;47,0417;20,167;"categ1";1368
"11";2011-01-14;"winter";2011;"Jan";"Fri";FALSE;"no";6,59567;9,42065;53,7826;8,478716;"categ1";1367
"12";2011-01-15;"winter";2011;"Jan";"Sat";TRUE;"no";9,566653;12,4056;49,875;10,583521;"categ2";1026
"13";2011-01-16;"winter";2011;"Jan";"Sun";TRUE;"no";9,498347;11,71085;48,375;12,625011;"categ1";953
"14";2011-01-17;"winter";2011;"Jan";"Mon";FALSE;"yes";7,209153;8,83855;53,75;12,999139;"categ2";883
"15";2011-01-18;"winter";2011;"Jan";"Tue";FALSE;"no";8,883347;11,61665;86,1667;9,833925;"categ2";674
"16";2011-01-19;"winter";2011;"Jan";"Wed";FALSE;"no";11,979134;14,9211;74,1739;13,957239;"categ2";1572
